Year,SERIES,UNIT_MEASURE,Nivo obrazovanja,Kvantil dohotka ili bogatstva,Spol,Stepen urbanizacije,Value
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 2,Oba spola ili bez podjele po spolu,Ukupno,100.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 2,Žene,Ukupno,100.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 2,Muškarci,Ukupno,100.0
2006,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 3,Oba spola ili bez podjele po spolu,Ukupno,98.48
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 3,Oba spola ili bez podjele po spolu,Ukupno,98.92706
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 3,Žene,Ukupno,100.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 3,Muškarci,Ukupno,98.07095
2006,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 4,Oba spola ili bez podjele po spolu,Ukupno,99.64
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 4,Oba spola ili bez podjele po spolu,Ukupno,100.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 4,Žene,Ukupno,100.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 4,Muškarci,Ukupno,100.0
2006,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 5 (najbogatiji),Oba spola ili bez podjele po spolu,Ukupno,100.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 5 (najbogatiji),Oba spola ili bez podjele po spolu,Ukupno,100.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 5 (najbogatiji),Žene,Ukupno,100.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 5 (najbogatiji),Muškarci,Ukupno,100.0
2000,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Ruralno,99.12
2006,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Ruralno,99.77
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Ruralno,99.66146
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Ruralno,99.91665
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Ruralno,99.41744
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 1 (najsiromašniji),Oba spola ili bez podjele po spolu,Ruralno,99.81214
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 1 (najsiromašniji),Žene,Ruralno,99.6634
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 1 (najsiromašniji),Muškarci,Ruralno,100.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 2,Oba spola ili bez podjele po spolu,Ruralno,100.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 2,Žene,Ruralno,100.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 2,Muškarci,Ruralno,100.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 3,Oba spola ili bez podjele po spolu,Ruralno,98.71719
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 3,Žene,Ruralno,100.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 3,Muškarci,Ruralno,97.79621
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 4,Oba spola ili bez podjele po spolu,Ruralno,100.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 4,Žene,Ruralno,100.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 4,Muškarci,Ruralno,100.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 5 (najbogatiji),Oba spola ili bez podjele po spolu,Ruralno,100.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 5 (najbogatiji),Žene,Ruralno,100.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 5 (najbogatiji),Muškarci,Ruralno,100.0
2000,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Urbano,99.48
2006,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Urbano,97.97
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Urbano,99.91445
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Urbano,99.83771
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Urbano,100.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 1 (najsiromašniji),Oba spola ili bez podjele po spolu,Urbano,0.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 1 (najsiromašniji),Žene,Urbano,0.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 1 (najsiromašniji),Muškarci,Urbano,0.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 2,Oba spola ili bez podjele po spolu,Urbano,0.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 2,Žene,Urbano,0.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 2,Muškarci,Urbano,0.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 3,Oba spola ili bez podjele po spolu,Urbano,100.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 3,Žene,Urbano,0.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 3,Muškarci,Urbano,0.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 4,Oba spola ili bez podjele po spolu,Urbano,100.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 4,Žene,Urbano,100.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 4,Muškarci,Urbano,100.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 5 (najbogatiji),Oba spola ili bez podjele po spolu,Urbano,100.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 5 (najbogatiji),Žene,Urbano,100.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Osnovno obrazovanje,Kvantil 5 (najbogatiji),Muškarci,Urbano,100.0
2000,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Ukupno,51.97
2006,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Ukupno,55.33
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Ukupno,93.06007
2000,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Ukupno,52.86
2006,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Ukupno,58.96
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Ukupno,93.48602
2000,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Ukupno,51.1
2006,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Ukupno,51.48
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Ukupno,92.69718
2006,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 1 (najsiromašniji),Oba spola ili bez podjele po spolu,Ukupno,31.59
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 1 (najsiromašniji),Oba spola ili bez podjele po spolu,Ukupno,83.20097
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 1 (najsiromašniji),Žene,Ukupno,81.98621
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 1 (najsiromašniji),Muškarci,Ukupno,83.83551
2006,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 2,Oba spola ili bez podjele po spolu,Ukupno,39.35
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 2,Oba spola ili bez podjele po spolu,Ukupno,88.78678
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 2,Žene,Ukupno,88.04646
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 2,Muškarci,Ukupno,89.67529
2006,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 3,Oba spola ili bez podjele po spolu,Ukupno,58.93
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 3,Oba spola ili bez podjele po spolu,Ukupno,92.34146
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 3,Žene,Ukupno,93.23528
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 3,Muškarci,Ukupno,91.66612
2006,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 4,Oba spola ili bez podjele po spolu,Ukupno,59.59
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 4,Oba spola ili bez podjele po spolu,Ukupno,97.319114
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 4,Žene,Ukupno,98.90768
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 4,Muškarci,Ukupno,95.72816
2006,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 5 (najbogatiji),Oba spola ili bez podjele po spolu,Ukupno,77.88
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 5 (najbogatiji),Oba spola ili bez podjele po spolu,Ukupno,98.18441
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 5 (najbogatiji),Žene,Ukupno,97.76735
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 5 (najbogatiji),Muškarci,Ukupno,98.53152
2000,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Ruralno,42.19
2006,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Ruralno,44.24
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Ruralno,90.89954
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Ruralno,91.40295
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Ruralno,90.47118
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 1 (najsiromašniji),Oba spola ili bez podjele po spolu,Ruralno,81.36999
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 1 (najsiromašniji),Žene,Ruralno,78.99797
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 1 (najsiromašniji),Muškarci,Ruralno,82.45838
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 2,Oba spola ili bez podjele po spolu,Ruralno,88.8996
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 2,Žene,Ruralno,87.07641
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 2,Muškarci,Ruralno,91.10901
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 3,Oba spola ili bez podjele po spolu,Ruralno,90.2955
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 3,Žene,Ruralno,91.89303
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 3,Muškarci,Ruralno,89.1518
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 4,Oba spola ili bez podjele po spolu,Ruralno,97.60803
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 4,Žene,Ruralno,98.81908
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 4,Muškarci,Ruralno,96.20177
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 5 (najbogatiji),Oba spola ili bez podjele po spolu,Ruralno,99.61563
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 5 (najbogatiji),Žene,Ruralno,0.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 5 (najbogatiji),Muškarci,Ruralno,0.0
2000,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Urbano,69.47
2006,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Urbano,72.78
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Urbano,96.939
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Urbano,97.21922
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Urbano,96.69978
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 1 (najsiromašniji),Oba spola ili bez podjele po spolu,Urbano,0.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 1 (najsiromašniji),Žene,Urbano,0.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 1 (najsiromašniji),Muškarci,Urbano,0.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 2,Oba spola ili bez podjele po spolu,Urbano,0.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 2,Žene,Urbano,0.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 2,Muškarci,Urbano,0.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 3,Oba spola ili bez podjele po spolu,Urbano,98.50816
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 3,Žene,Urbano,0.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 3,Muškarci,Urbano,0.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 4,Oba spola ili bez podjele po spolu,Urbano,96.79177
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 4,Žene,Urbano,0.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 4,Muškarci,Urbano,0.0
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 5 (najbogatiji),Oba spola ili bez podjele po spolu,Urbano,97.66034
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 5 (najbogatiji),Žene,Urbano,97.25491
2012,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i nivou obrazovanja (%)",Procenat,Više srednje obrazovanje,Kvantil 5 (najbogatiji),Muškarci,Urbano,97.99669
