Year,SERIES,UNIT_MEASURE,Spol,Vrsta vještina,Godine,Stepen urbanizacije,Value
2017,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Korištenje alata za kopiranje i lijepljenje za dupliranje ili premještanje informacija unutar dokumenta,25 do 74 godine,Sva područja,22.0
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Korištenje alata za kopiranje i lijepljenje za dupliranje ili premještanje informacija unutar dokumenta,25 do 74 godine,Sva područja,17.1
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Korištenje alata za kopiranje i lijepljenje za dupliranje ili premještanje informacija unutar dokumenta,25 do 74 godine,Sva područja,51.4
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Korištenje alata za kopiranje i lijepljenje za dupliranje ili premještanje informacija unutar dokumenta,25 do 74 godine,Sva područja,48.2
2017,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Korištenje alata za kopiranje i lijepljenje za dupliranje ili premještanje informacija unutar dokumenta,25 do 74 godine,Sva područja,26.4
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Korištenje alata za kopiranje i lijepljenje za dupliranje ili premještanje informacija unutar dokumenta,25 do 74 godine,Sva područja,21.3
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Korištenje alata za kopiranje i lijepljenje za dupliranje ili premještanje informacija unutar dokumenta,25 do 74 godine,Sva područja,56.3
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Korištenje alata za kopiranje i lijepljenje za dupliranje ili premještanje informacija unutar dokumenta,25 do 74 godine,Sva područja,49.7
2017,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,"Čitanje ili preuzimanje on - line novina, časopisa ili elektronskih knjiga",25 do 74 godine,Sva područja,3.2
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,"Čitanje ili preuzimanje on - line novina, časopisa ili elektronskih knjiga",25 do 74 godine,Sva područja,59.1
2020,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,"Čitanje ili preuzimanje on - line novina, časopisa ili elektronskih knjiga",25 do 74 godine,Sva područja,64.6
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,"Čitanje ili preuzimanje on - line novina, časopisa ili elektronskih knjiga",25 do 74 godine,Sva područja,72.8
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,"Čitanje ili preuzimanje on - line novina, časopisa ili elektronskih knjiga",25 do 74 godine,Sva područja,80.1
2017,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,"Čitanje ili preuzimanje on - line novina, časopisa ili elektronskih knjiga",25 do 74 godine,Sva područja,2.9
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,"Čitanje ili preuzimanje on - line novina, časopisa ili elektronskih knjiga",25 do 74 godine,Sva područja,52.1
2020,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,"Čitanje ili preuzimanje on - line novina, časopisa ili elektronskih knjiga",25 do 74 godine,Sva područja,63.2
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,"Čitanje ili preuzimanje on - line novina, časopisa ili elektronskih knjiga",25 do 74 godine,Sva područja,73.2
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,"Čitanje ili preuzimanje on - line novina, časopisa ili elektronskih knjiga",25 do 74 godine,Sva područja,76.7
2017,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,"Čitanje ili preuzimanje on - line novina, časopisa ili elektronskih knjiga",25 do 74 godine,Sva područja,3.4
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,"Čitanje ili preuzimanje on - line novina, časopisa ili elektronskih knjiga",25 do 74 godine,Sva područja,68.2
2020,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,"Čitanje ili preuzimanje on - line novina, časopisa ili elektronskih knjiga",25 do 74 godine,Sva područja,66.2
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,"Čitanje ili preuzimanje on - line novina, časopisa ili elektronskih knjiga",25 do 74 godine,Sva područja,72.5
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,"Čitanje ili preuzimanje on - line novina, časopisa ili elektronskih knjiga",25 do 74 godine,Sva područja,83.3
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Slanje e - pošte sa priloženim fajlovima,25 do 74 godine,Sva područja,24.7
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Slanje e - pošte sa priloženim fajlovima,25 do 74 godine,Sva područja,30.0
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Slanje e - pošte sa priloženim fajlovima,25 do 74 godine,Sva područja,39.1
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Slanje e - pošte sa priloženim fajlovima,25 do 74 godine,Sva područja,23.2
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Slanje e - pošte sa priloženim fajlovima,25 do 74 godine,Sva područja,28.4
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Slanje e - pošte sa priloženim fajlovima,25 do 74 godine,Sva područja,37.4
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Slanje e - pošte sa priloženim fajlovima,25 do 74 godine,Sva područja,26.7
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Slanje e - pošte sa priloženim fajlovima,25 do 74 godine,Sva područja,31.8
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Slanje e - pošte sa priloženim fajlovima,25 do 74 godine,Sva područja,40.8
2017,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Izrada elektronskih prezentacija sa softverom za prezentacije,25 do 74 godine,Sva područja,9.4
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Izrada elektronskih prezentacija sa softverom za prezentacije,25 do 74 godine,Sva područja,8.9
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Izrada elektronskih prezentacija sa softverom za prezentacije,25 do 74 godine,Sva područja,14.7
2017,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Izrada elektronskih prezentacija sa softverom za prezentacije,25 do 74 godine,Sva područja,8.0
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Izrada elektronskih prezentacija sa softverom za prezentacije,25 do 74 godine,Sva područja,7.7
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Izrada elektronskih prezentacija sa softverom za prezentacije,25 do 74 godine,Sva područja,13.6
2017,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Izrada elektronskih prezentacija sa softverom za prezentacije,25 do 74 godine,Sva područja,11.1
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Izrada elektronskih prezentacija sa softverom za prezentacije,25 do 74 godine,Sva područja,10.5
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Izrada elektronskih prezentacija sa softverom za prezentacije,25 do 74 godine,Sva područja,16.1
2017,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Obavljanje formalnog online kursa,25 do 74 godine,Sva područja,12.9
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Obavljanje formalnog online kursa,25 do 74 godine,Sva područja,2.5
2020,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Obavljanje formalnog online kursa,25 do 74 godine,Sva područja,4.5
2017,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Obavljanje formalnog online kursa,25 do 74 godine,Sva područja,11.8
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Obavljanje formalnog online kursa,25 do 74 godine,Sva područja,1.9
2020,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Obavljanje formalnog online kursa,25 do 74 godine,Sva područja,5.5
2017,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Obavljanje formalnog online kursa,25 do 74 godine,Sva područja,14.1
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Obavljanje formalnog online kursa,25 do 74 godine,Sva područja,3.4
2020,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Obavljanje formalnog online kursa,25 do 74 godine,Sva područja,3.4
2018,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Dobijanje informacija o robi ili uslugama na mreži,25 do 74 godine,Sva područja,73.8
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Dobijanje informacija o robi ili uslugama na mreži,25 do 74 godine,Sva područja,54.6
2020,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Dobijanje informacija o robi ili uslugama na mreži,25 do 74 godine,Sva područja,66.5
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Dobijanje informacija o robi ili uslugama na mreži,25 do 74 godine,Sva područja,65.1
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Dobijanje informacija o robi ili uslugama na mreži,25 do 74 godine,Sva područja,69.0
2018,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Dobijanje informacija o robi ili uslugama na mreži,25 do 74 godine,Sva područja,75.1
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Dobijanje informacija o robi ili uslugama na mreži,25 do 74 godine,Sva područja,55.9
2020,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Dobijanje informacija o robi ili uslugama na mreži,25 do 74 godine,Sva područja,66.3
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Dobijanje informacija o robi ili uslugama na mreži,25 do 74 godine,Sva područja,63.6
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Dobijanje informacija o robi ili uslugama na mreži,25 do 74 godine,Sva područja,65.9
2018,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Dobijanje informacija o robi ili uslugama na mreži,25 do 74 godine,Sva područja,72.3
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Dobijanje informacija o robi ili uslugama na mreži,25 do 74 godine,Sva područja,52.9
2020,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Dobijanje informacija o robi ili uslugama na mreži,25 do 74 godine,Sva područja,66.7
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Dobijanje informacija o robi ili uslugama na mreži,25 do 74 godine,Sva područja,66.7
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Dobijanje informacija o robi ili uslugama na mreži,25 do 74 godine,Sva područja,71.9
2018,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Kupovina ili naručivanje robe ili usluga putem Interneta,25 do 74 godine,Sva područja,18.7
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Kupovina ili naručivanje robe ili usluga putem Interneta,25 do 74 godine,Sva područja,21.7
2020,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Kupovina ili naručivanje robe ili usluga putem Interneta,25 do 74 godine,Sva područja,23.5
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Kupovina ili naručivanje robe ili usluga putem Interneta,25 do 74 godine,Sva područja,31.8
2018,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Kupovina ili naručivanje robe ili usluga putem Interneta,25 do 74 godine,Sva područja,18.7
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Kupovina ili naručivanje robe ili usluga putem Interneta,25 do 74 godine,Sva područja,17.6
2020,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Kupovina ili naručivanje robe ili usluga putem Interneta,25 do 74 godine,Sva područja,23.3
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Kupovina ili naručivanje robe ili usluga putem Interneta,25 do 74 godine,Sva područja,35.9
2018,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Kupovina ili naručivanje robe ili usluga putem Interneta,25 do 74 godine,Sva područja,18.8
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Kupovina ili naručivanje robe ili usluga putem Interneta,25 do 74 godine,Sva područja,26.9
2020,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Kupovina ili naručivanje robe ili usluga putem Interneta,25 do 74 godine,Sva područja,23.8
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Kupovina ili naručivanje robe ili usluga putem Interneta,25 do 74 godine,Sva područja,27.5
2017,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,"Traženje informacija o zdravlju (o povredama, bolesti, ishrani, itd.)",25 do 74 godine,Sva područja,6.1
2018,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,"Traženje informacija o zdravlju (o povredama, bolesti, ishrani, itd.)",25 do 74 godine,Sva područja,53.8
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,"Traženje informacija o zdravlju (o povredama, bolesti, ishrani, itd.)",25 do 74 godine,Sva područja,37.2
2020,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,"Traženje informacija o zdravlju (o povredama, bolesti, ishrani, itd.)",25 do 74 godine,Sva područja,42.6
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,"Traženje informacija o zdravlju (o povredama, bolesti, ishrani, itd.)",25 do 74 godine,Sva područja,59.8
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,"Traženje informacija o zdravlju (o povredama, bolesti, ishrani, itd.)",25 do 74 godine,Sva područja,56.2
2017,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,"Traženje informacija o zdravlju (o povredama, bolesti, ishrani, itd.)",25 do 74 godine,Sva područja,5.4
2018,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,"Traženje informacija o zdravlju (o povredama, bolesti, ishrani, itd.)",25 do 74 godine,Sva područja,57.1
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,"Traženje informacija o zdravlju (o povredama, bolesti, ishrani, itd.)",25 do 74 godine,Sva područja,35.8
2020,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,"Traženje informacija o zdravlju (o povredama, bolesti, ishrani, itd.)",25 do 74 godine,Sva područja,44.6
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,"Traženje informacija o zdravlju (o povredama, bolesti, ishrani, itd.)",25 do 74 godine,Sva područja,60.8
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,"Traženje informacija o zdravlju (o povredama, bolesti, ishrani, itd.)",25 do 74 godine,Sva područja,56.2
2017,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,"Traženje informacija o zdravlju (o povredama, bolesti, ishrani, itd.)",25 do 74 godine,Sva područja,6.9
2018,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,"Traženje informacija o zdravlju (o povredama, bolesti, ishrani, itd.)",25 do 74 godine,Sva područja,49.8
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,"Traženje informacija o zdravlju (o povredama, bolesti, ishrani, itd.)",25 do 74 godine,Sva područja,38.9
2020,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,"Traženje informacija o zdravlju (o povredama, bolesti, ishrani, itd.)",25 do 74 godine,Sva područja,40.5
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,"Traženje informacija o zdravlju (o povredama, bolesti, ishrani, itd.)",25 do 74 godine,Sva područja,58.7
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,"Traženje informacija o zdravlju (o povredama, bolesti, ishrani, itd.)",25 do 74 godine,Sva područja,56.2
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Povezivanje i instalacija novih uređaja,25 do 74 godine,Sva područja,11.5
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Povezivanje i instalacija novih uređaja,25 do 74 godine,Sva područja,12.0
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Povezivanje i instalacija novih uređaja,25 do 74 godine,Sva područja,9.9
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Povezivanje i instalacija novih uređaja,25 do 74 godine,Sva područja,10.3
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Povezivanje i instalacija novih uređaja,25 do 74 godine,Sva područja,13.4
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Povezivanje i instalacija novih uređaja,25 do 74 godine,Sva područja,13.7
2018,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Korištenje Internet bankarstva,25 do 74 godine,Sva područja,7.4
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Korištenje Internet bankarstva,25 do 74 godine,Sva područja,7.2
2020,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Korištenje Internet bankarstva,25 do 74 godine,Sva područja,17.5
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Korištenje Internet bankarstva,25 do 74 godine,Sva područja,17.7
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Korištenje Internet bankarstva,25 do 74 godine,Sva područja,23.2
2018,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Korištenje Internet bankarstva,25 do 74 godine,Sva područja,6.4
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Korištenje Internet bankarstva,25 do 74 godine,Sva područja,5.7
2020,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Korištenje Internet bankarstva,25 do 74 godine,Sva područja,14.6
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Korištenje Internet bankarstva,25 do 74 godine,Sva područja,17.4
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Korištenje Internet bankarstva,25 do 74 godine,Sva područja,21.1
2018,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Korištenje Internet bankarstva,25 do 74 godine,Sva područja,8.7
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Korištenje Internet bankarstva,25 do 74 godine,Sva područja,9.2
2020,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Korištenje Internet bankarstva,25 do 74 godine,Sva područja,20.6
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Korištenje Internet bankarstva,25 do 74 godine,Sva područja,17.9
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Korištenje Internet bankarstva,25 do 74 godine,Sva područja,25.1
2017,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Učestvovanje u on-line konsultacijama ili glasanje za definisanje građanskih ili političkih pitanja,25 do 74 godine,Sva područja,2.7
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Učestvovanje u on-line konsultacijama ili glasanje za definisanje građanskih ili političkih pitanja,25 do 74 godine,Sva područja,4.9
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Učestvovanje u on-line konsultacijama ili glasanje za definisanje građanskih ili političkih pitanja,25 do 74 godine,Sva područja,4.0
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Učestvovanje u on-line konsultacijama ili glasanje za definisanje građanskih ili političkih pitanja,25 do 74 godine,Sva područja,4.6
2017,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Učestvovanje u on-line konsultacijama ili glasanje za definisanje građanskih ili političkih pitanja,25 do 74 godine,Sva područja,2.1
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Učestvovanje u on-line konsultacijama ili glasanje za definisanje građanskih ili političkih pitanja,25 do 74 godine,Sva područja,4.0
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Učestvovanje u on-line konsultacijama ili glasanje za definisanje građanskih ili političkih pitanja,25 do 74 godine,Sva područja,4.2
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Učestvovanje u on-line konsultacijama ili glasanje za definisanje građanskih ili političkih pitanja,25 do 74 godine,Sva područja,4.1
2017,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Učestvovanje u on-line konsultacijama ili glasanje za definisanje građanskih ili političkih pitanja,25 do 74 godine,Sva područja,3.2
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Učestvovanje u on-line konsultacijama ili glasanje za definisanje građanskih ili političkih pitanja,25 do 74 godine,Sva područja,6.0
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Učestvovanje u on-line konsultacijama ili glasanje za definisanje građanskih ili političkih pitanja,25 do 74 godine,Sva područja,3.8
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Učestvovanje u on-line konsultacijama ili glasanje za definisanje građanskih ili političkih pitanja,25 do 74 godine,Sva područja,5.4
2017,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Pisanje kompjuterskog programa pomoću specijalizovanog programskog jezika,25 do 74 godine,Sva područja,1.7
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Pisanje kompjuterskog programa pomoću specijalizovanog programskog jezika,25 do 74 godine,Sva područja,1.2
2017,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Pisanje kompjuterskog programa pomoću specijalizovanog programskog jezika,25 do 74 godine,Sva područja,0.7
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Pisanje kompjuterskog programa pomoću specijalizovanog programskog jezika,25 do 74 godine,Sva područja,0.6
2017,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Pisanje kompjuterskog programa pomoću specijalizovanog programskog jezika,25 do 74 godine,Sva područja,2.8
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Pisanje kompjuterskog programa pomoću specijalizovanog programskog jezika,25 do 74 godine,Sva područja,2.1
