Year,SERIES,UNIT_MEASURE,Sex,Age,Value
2014,"Detected victims of human trafficking for sexual exploitation, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2015,"Detected victims of human trafficking for sexual exploitation, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2016,"Detected victims of human trafficking for sexual exploitation, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2017,"Detected victims of human trafficking for sexual exploitation, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2018,"Detected victims of human trafficking for sexual exploitation, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2019,"Detected victims of human trafficking for sexual exploitation, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2020,"Detected victims of human trafficking for sexual exploitation, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2022,"Detected victims of human trafficking for sexual exploitation, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,0.25
2022,"Detected victims of human trafficking for removal of organ, by age and sex (per 100,000 population)","Per 100,000 population",Female,under 18 years old,0.0
2022,"Detected victims of human trafficking for removal of organ, by age and sex (per 100,000 population)","Per 100,000 population",Male,under 18 years old,0.0
2022,"Detected victims of human trafficking for removal of organ, by age and sex (per 100,000 population)","Per 100,000 population",Female,18 years old and over,0.0
2022,"Detected victims of human trafficking for removal of organ, by age and sex (per 100,000 population)","Per 100,000 population",Male,18 years old and over,0.0
2022,"Detected victims of human trafficking for removal of organ, by age and sex (per 100,000 population)","Per 100,000 population",Female,All age ranges or no breaks by age,0.0
2022,"Detected victims of human trafficking for removal of organ, by age and sex (per 100,000 population)","Per 100,000 population",Male,All age ranges or no breaks by age,0.0
2007,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,under 18 years old,
2008,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,under 18 years old,
2009,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,under 18 years old,
2010,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,under 18 years old,2.68
2011,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,under 18 years old,
2012,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,under 18 years old,
2014,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,under 18 years old,
2015,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,under 18 years old,2.57
2016,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,under 18 years old,
2017,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,under 18 years old,
2018,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,under 18 years old,3.89
2019,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,under 18 years old,
2020,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,under 18 years old,
2021,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,under 18 years old,
2022,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,under 18 years old,4.92
2011,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Female,under 18 years old,
2014,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Female,under 18 years old,
2021,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Female,under 18 years old,9.03
2022,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Female,under 18 years old,
2010,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Male,under 18 years old,
2012,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Male,under 18 years old,
2014,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Male,under 18 years old,
2015,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Male,under 18 years old,
2021,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Male,under 18 years old,
2022,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Male,under 18 years old,
2007,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,18 years old and over,
2008,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,18 years old and over,
2009,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,18 years old and over,
2010,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,18 years old and over,
2011,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,18 years old and over,
2012,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,18 years old and over,
2014,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,18 years old and over,
2015,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,18 years old and over,
2016,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,18 years old and over,
2017,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,18 years old and over,
2018,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,18 years old and over,
2019,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,18 years old and over,
2020,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,18 years old and over,
2021,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,18 years old and over,
2022,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,18 years old and over,0.19
2015,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Female,18 years old and over,
2017,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Female,18 years old and over,
2020,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Female,18 years old and over,
2022,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Female,18 years old and over,0.42
2011,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Male,18 years old and over,
2012,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Male,18 years old and over,
2014,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Male,18 years old and over,
2015,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Male,18 years old and over,
2017,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Male,18 years old and over,
2020,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Male,18 years old and over,
2021,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Male,18 years old and over,
2022,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Male,18 years old and over,0.4
2007,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2008,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2009,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2010,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2011,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2012,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2014,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2015,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2016,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2017,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2018,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breakdown by age,1.06
2019,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2020,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2021,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,
2022,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Both sexes or no breakdown by sex,All age ranges or no breaks by age,1.19
2011,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Female,All age ranges or no breaks by age,
2014,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Female,All age ranges or no breaks by age,
2015,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Female,All age ranges or no breaks by age,
2017,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Female,All age ranges or no breaks by age,
2020,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Female,All age ranges or no breaks by age,
2021,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Female,All age ranges or no breaks by age,
2022,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Female,All age ranges or no breaks by age,1.73
2010,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Male,All age ranges or no breaks by age,
2011,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Male,All age ranges or no breaks by age,
2012,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Male,All age ranges or no breaks by age,
2014,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Male,All age ranges or no breaks by age,
2015,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Male,All age ranges or no breaks by age,
2017,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Male,All age ranges or no breaks by age,
2020,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Male,All age ranges or no breaks by age,
2021,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Male,All age ranges or no breaks by age,
2022,"Detected victims of human trafficking, by age and sex (per 100,000 population)","Per 100,000 population",Male,All age ranges or no breaks by age,0.52
