Year,SERIES,UNIT_MEASURE,Education level,Income or wealth quantile,Sex,Type of skill,Degree of urbanisation,Age,Value
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Copying or moving a file or folder,,,
2017,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Using copy and paste tools to duplicate or move information within a document,,,0.84
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Using copy and paste tools to duplicate or move information within a document,,,0.74
2021,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Using copy and paste tools to duplicate or move information within a document,,,0.92
2023,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Using copy and paste tools to duplicate or move information within a document,,,0.96
2017,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,"Reading or downloading on - line newspapers, magazines, or electronic books",,,0.86
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,"Reading or downloading on - line newspapers, magazines, or electronic books",,,0.7
2020,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,"Reading or downloading on - line newspapers, magazines, or electronic books",,,0.82
2021,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,"Reading or downloading on - line newspapers, magazines, or electronic books",,,0.93
2023,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,"Reading or downloading on - line newspapers, magazines, or electronic books",,,0.92
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Sending e-mails with attached files,,,0.75
2021,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Sending e-mails with attached files,,,0.92
2023,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Sending e-mails with attached files,,,0.9
2017,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Creating electronic presentations with presentation software,,,0.74
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Creating electronic presentations with presentation software,,,0.7
2021,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Creating electronic presentations with presentation software,,,0.84
2017,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Doing a formal online course,,,0.76
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Doing a formal online course,,,0.36
2020,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Doing a formal online course,,,1.38
2017,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Getting information about goods or services online,,,0.93
2018,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Getting information about goods or services online,,,0.96
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Getting information about goods or services online,,,0.9
2020,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Getting information about goods or services online,,,0.85
2021,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Getting information about goods or services online,,,0.88
2023,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Getting information about goods or services online,,,0.91
2017,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Purchasing or ordering goods or services using the Internet,,,0.84
2018,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Purchasing or ordering goods or services using the Internet,,,0.88
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Purchasing or ordering goods or services using the Internet,,,0.56
2020,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Purchasing or ordering goods or services using the Internet,,,0.86
2021,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Purchasing or ordering goods or services using the Internet,,,1.23
2023,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Purchasing or ordering goods or services using the Internet,,,0.75
2017,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,"Seeking health information (on injury, disease, nutrition, etc.)",,,1.04
2018,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,"Seeking health information (on injury, disease, nutrition, etc.)",,,1.05
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,"Seeking health information (on injury, disease, nutrition, etc.)",,,0.92
2020,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,"Seeking health information (on injury, disease, nutrition, etc.)",,,0.98
2021,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,"Seeking health information (on injury, disease, nutrition, etc.)",,,0.95
2023,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,"Seeking health information (on injury, disease, nutrition, etc.)",,,1.0
2021,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Connecting and installing new devices,,,0.74
2023,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Connecting and installing new devices,,,0.73
2017,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Using Internet banking,,,0.64
2018,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Using Internet banking,,,0.65
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Using Internet banking,,,0.61
2020,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Using Internet banking,,,0.62
2021,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Using Internet banking,,,0.89
2023,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Using Internet banking,,,0.82
2017,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Writing a computer program using a specialized programming language,,,0.31
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Writing a computer program using a specialized programming language,,,0.29
2021,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,"Changing privacy settings on your device, account or app to limit the sharing of personal data and information (e.g. name, contact information, photos)",,,0.69
2023,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,"Changing privacy settings on your device, account or app to limit the sharing of personal data and information (e.g. name, contact information, photos)",,,0.64
2021,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,"Setting up effective security measures (e.g. strong passwords, log-in attempt notification) to protect devices and online accounts",,,0.82
2023,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,"Setting up effective security measures (e.g. strong passwords, log-in attempt notification) to protect devices and online accounts",,,0.61
2017,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Participating in social networks,,,0.89
2018,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Participating in social networks,,,0.95
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Participating in social networks,,,1.0
2020,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Participating in social networks,,,0.85
2021,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Participating in social networks,,,0.93
2023,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Participating in social networks,,,0.99
2017,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,"Finding, downloading, installing and configuring software",,,0.8
2021,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,"Finding, downloading, installing and configuring software",,,0.83
2023,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,"Finding, downloading, installing and configuring software",,,0.95
2017,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Transferring files between a computer and other devices,,,
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Transferring files between a computer and other devices,,,
2021,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Transferring files between a computer and other devices,,,
2023,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Transferring files between a computer and other devices,,,
2017,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Uploading self / user - created content to a website to be shared,,,
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Uploading self / user - created content to a website to be shared,,,
2020,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Uploading self / user - created content to a website to be shared,,,
2017,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Telephoning over the Internet / VoIP,,,0.92
2018,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Telephoning over the Internet / VoIP,,,0.9
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Telephoning over the Internet / VoIP,,,0.85
2020,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Telephoning over the Internet / VoIP,,,0.87
2021,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Telephoning over the Internet / VoIP,,,0.93
2023,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Ratio,,,,Telephoning over the Internet / VoIP,,,1.0
2018,Adjusted language test parity index for achieving a minimum proficiency level in reading and mathematics (ratio),Ratio,Lower secondary education,,,SKILL_READ,,,0.85
2019,Adjusted language test parity index for achieving a minimum proficiency level in reading and mathematics (ratio),Ratio,Primary education,,,SKILL_MATH,,,0.87
2018,Adjusted immigration status parity index for achieving a minimum proficiency level in reading and mathematics (ratio),Ratio,Lower secondary education,,,SKILL_READ,,,0.79
2019,Adjusted immigration status parity index for achieving a minimum proficiency level in reading and mathematics (ratio),Ratio,Lower secondary education,,,SKILL_MATH,,,1.16
2018,Adjusted rural to urban parity index for achieving a minimum proficiency level in reading and mathematics (ratio),Ratio,Lower secondary education,,,SKILL_READ,,,0.56
2019,Adjusted rural to urban parity index for achieving a minimum proficiency level in reading and mathematics (ratio),Ratio,Primary education,,,SKILL_MATH,,,0.76
2018,Adjusted low to high socio-economic parity index for achieving a minimum proficiency level in reading and mathematics (ratio),Ratio,Lower secondary education,,,SKILL_READ,,,0.4988
2018,Adjusted low to high socio-economic parity index for achieving a minimum proficiency level in reading and mathematics (ratio),Ratio,Primary education,,,SKILL_MATH,,,0.8823
2018,Adjusted gender parity index for achieving a minimum proficiency level in reading and mathematics (ratio),Ratio,Lower secondary education,,,SKILL_READ,,,1.3
2019,Adjusted gender parity index for achieving a minimum proficiency level in reading and mathematics (ratio),Ratio,Primary education,,,SKILL_MATH,,,0.86
