Year,SERIES,UNIT_MEASURE,Sex,Occupation,Value
2016,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Service and sales workers,3.7
2017,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Service and sales workers,3.7
2018,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Service and sales workers,3.8
2019,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Female,Service and sales workers,4.2
2010,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,"Skilled agricultural, forestry and fishery workers",3.3
2011,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,"Skilled agricultural, forestry and fishery workers",3.3
2012,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,"Skilled agricultural, forestry and fishery workers",3.4
2013,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,"Skilled agricultural, forestry and fishery workers",3.3
2014,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,"Skilled agricultural, forestry and fishery workers",3.5
2015,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,"Skilled agricultural, forestry and fishery workers",3.1
2016,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,"Skilled agricultural, forestry and fishery workers",4.3
2017,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,"Skilled agricultural, forestry and fishery workers",3.3
2018,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,"Skilled agricultural, forestry and fishery workers",3.4
2019,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,"Skilled agricultural, forestry and fishery workers",4.9
2010,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Craft and related trades workers,3.7
2011,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Craft and related trades workers,3.6
2012,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Craft and related trades workers,3.7
2013,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Craft and related trades workers,3.7
2014,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Craft and related trades workers,4.1
2015,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Craft and related trades workers,3.8
2016,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Craft and related trades workers,4.0
2017,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Craft and related trades workers,4.2
2018,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Craft and related trades workers,4.3
2019,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Craft and related trades workers,4.5
2010,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,"Plant and machine operators, and assemblers",3.7
2011,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,"Plant and machine operators, and assemblers",3.6
2012,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,"Plant and machine operators, and assemblers",3.7
2013,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,"Plant and machine operators, and assemblers",3.7
2014,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,"Plant and machine operators, and assemblers",3.7
2015,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,"Plant and machine operators, and assemblers",3.9
2016,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,"Plant and machine operators, and assemblers",3.7
2017,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,"Plant and machine operators, and assemblers",4.2
2018,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,"Plant and machine operators, and assemblers",4.1
2019,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,"Plant and machine operators, and assemblers",4.4
2010,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Elementary occupations,3.1
2011,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Elementary occupations,3.3
2012,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Elementary occupations,3.2
2013,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Elementary occupations,3.2
2014,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Elementary occupations,3.4
2015,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Elementary occupations,3.2
2016,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Elementary occupations,3.6
2017,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Elementary occupations,3.2
2018,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Elementary occupations,3.3
2019,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Male,Elementary occupations,3.9
