Year,SERIES,UNIT_MEASURE,Пол,Врста вјештина,Године,Степен урбанизације,Value
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Коришћење Интернет банкарства,15 до 24 године,Сва подручја,35.8
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Учествовање у он - лине консултацијама или гласање за дефинисање грађанских или политичких питања,15 до 24 године,Сва подручја,3.6
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Учествовање у он - лине консултацијама или гласање за дефинисање грађанских или политичких питања,15 до 24 године,Сва подручја,8.2
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Учествовање у он - лине консултацијама или гласање за дефинисање грађанских или политичких питања,15 до 24 године,Сва подручја,5.5
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Учествовање у он - лине консултацијама или гласање за дефинисање грађанских или политичких питања,15 до 24 године,Сва подручја,10.2
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Учествовање у он - лине консултацијама или гласање за дефинисање грађанских или политичких питања,15 до 24 године,Сва подручја,1.6
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Учествовање у он - лине консултацијама или гласање за дефинисање грађанских или политичких питања,15 до 24 године,Сва подручја,6.9
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Учествовање у он - лине консултацијама или гласање за дефинисање грађанских или политичких питања,15 до 24 године,Сва подручја,4.7
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Учествовање у он - лине консултацијама или гласање за дефинисање грађанских или политичких питања,15 до 24 године,Сва подручја,8.8
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Учествовање у он - лине консултацијама или гласање за дефинисање грађанских или политичких питања,15 до 24 године,Сва подручја,5.3
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Учествовање у он - лине консултацијама или гласање за дефинисање грађанских или политичких питања,15 до 24 године,Сва подручја,8.7
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Учествовање у он - лине консултацијама или гласање за дефинисање грађанских или политичких питања,15 до 24 године,Сва подручја,6.4
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Учествовање у он - лине консултацијама или гласање за дефинисање грађанских или политичких питања,15 до 24 године,Сва подручја,11.2
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Писање рачунарског програма помоћу специјализованог програмског језика,15 до 24 године,Сва подручја,5.0
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Писање рачунарског програма помоћу специјализованог програмског језика,15 до 24 године,Сва подручја,9.7
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Писање рачунарског програма помоћу специјализованог програмског језика,15 до 24 године,Сва подручја,3.5
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Писање рачунарског програма помоћу специјализованог програмског језика,15 до 24 године,Сва подручја,8.0
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Писање рачунарског програма помоћу специјализованог програмског језика,15 до 24 године,Сва подручја,6.3
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Писање рачунарског програма помоћу специјализованог програмског језика,15 до 24 године,Сва подручја,10.2
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,"Промјена подешавања приватности на вашем уређају, налогу или апликацији да бисте ограничили дјељење личних података и информација (нпр. име, контакт информације, фотографије)",15 до 24 године,Сва подручја,20.6
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,"Промјена подешавања приватности на вашем уређају, налогу или апликацији да бисте ограничили дјељење личних података и информација (нпр. име, контакт информације, фотографије)",15 до 24 године,Сва подручја,19.7
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,"Промјена подешавања приватности на вашем уређају, налогу или апликацији да бисте ограничили дјељење личних података и информација (нпр. име, контакт информације, фотографије)",15 до 24 године,Сва подручја,18.5
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,"Промјена подешавања приватности на вашем уређају, налогу или апликацији да бисте ограничили дјељење личних података и информација (нпр. име, контакт информације, фотографије)",15 до 24 године,Сва подручја,20.5
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,"Промјена подешавања приватности на вашем уређају, налогу или апликацији да бисте ограничили дјељење личних података и информација (нпр. име, контакт информације, фотографије)",15 до 24 године,Сва подручја,23.1
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,"Промјена подешавања приватности на вашем уређају, налогу или апликацији да бисте ограничили дјељење личних података и информација (нпр. име, контакт информације, фотографије)",15 до 24 године,Сва подручја,19.2
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,"Подешавање ефикасних безбедносних мјера (нпр. јаке лозинке, обавјештење о покушају пријављивања) за заштиту уређаја и налога на мрежи",15 до 24 године,Сва подручја,18.7
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,"Подешавање ефикасних безбедносних мјера (нпр. јаке лозинке, обавјештење о покушају пријављивања) за заштиту уређаја и налога на мрежи",15 до 24 године,Сва подручја,31.2
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,"Подешавање ефикасних безбедносних мјера (нпр. јаке лозинке, обавјештење о покушају пријављивања) за заштиту уређаја и налога на мрежи",15 до 24 године,Сва подручја,17.6
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,"Подешавање ефикасних безбедносних мјера (нпр. јаке лозинке, обавјештење о покушају пријављивања) за заштиту уређаја и налога на мрежи",15 до 24 године,Сва подручја,27.4
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,"Подешавање ефикасних безбедносних мјера (нпр. јаке лозинке, обавјештење о покушају пријављивања) за заштиту уређаја и налога на мрежи",15 до 24 године,Сва подручја,20.1
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,"Подешавање ефикасних безбедносних мјера (нпр. јаке лозинке, обавјештење о покушају пријављивања) за заштиту уређаја и налога на мрежи",15 до 24 године,Сва подручја,33.7
2018,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Учествовање у друштвеним мрежама,15 до 24 године,Сва подручја,76.1
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Учествовање у друштвеним мрежама,15 до 24 године,Сва подручја,64.1
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Учествовање у друштвеним мрежама,15 до 24 године,Сва подручја,86.9
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Учествовање у друштвеним мрежама,15 до 24 године,Сва подручја,89.0
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Учествовање у друштвеним мрежама,15 до 24 године,Сва подручја,95.5
2018,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Учествовање у друштвеним мрежама,15 до 24 године,Сва подручја,69.1
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Учествовање у друштвеним мрежама,15 до 24 године,Сва подручја,87.5
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Учествовање у друштвеним мрежама,15 до 24 године,Сва подручја,82.1
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Учествовање у друштвеним мрежама,15 до 24 године,Сва подручја,88.1
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Учествовање у друштвеним мрежама,15 до 24 године,Сва подручја,98.0
2018,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Учествовање у друштвеним мрежама,15 до 24 године,Сва подручја,83.9
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Учествовање у друштвеним мрежама,15 до 24 године,Сва подручја,56.1
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Учествовање у друштвеним мрежама,15 до 24 године,Сва подручја,90.6
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Учествовање у друштвеним мрежама,15 до 24 године,Сва подручја,90.2
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Учествовање у друштвеним мрежама,15 до 24 године,Сва подручја,93.8
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,"Проналажење, преузимање, инсталирање и конфигурисање софтвера",15 до 24 године,Сва подручја,51.7
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,"Проналажење, преузимање, инсталирање и конфигурисање софтвера",15 до 24 године,Сва подручја,54.2
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,"Проналажење, преузимање, инсталирање и конфигурисање софтвера",15 до 24 године,Сва подручја,78.4
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,"Проналажење, преузимање, инсталирање и конфигурисање софтвера",15 до 24 године,Сва подручја,50.2
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,"Проналажење, преузимање, инсталирање и конфигурисање софтвера",15 до 24 године,Сва подручја,56.3
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,"Проналажење, преузимање, инсталирање и конфигурисање софтвера",15 до 24 године,Сва подручја,80.5
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,"Проналажење, преузимање, инсталирање и конфигурисање софтвера",15 до 24 године,Сва подручја,53.0
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,"Проналажење, преузимање, инсталирање и конфигурисање софтвера",15 до 24 године,Сва подручја,51.6
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,"Проналажење, преузимање, инсталирање и конфигурисање софтвера",15 до 24 године,Сва подручја,77.0
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Пренос датотека између рачунара и других уређаја,15 до 24 године,Сва подручја,87.0
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Пренос датотека између рачунара и других уређаја,15 до 24 године,Сва подручја,80.7
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Пренос датотека између рачунара и других уређаја,15 до 24 године,Сва подручја,40.4
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Пренос датотека између рачунара и других уређаја,15 до 24 године,Сва подручја,53.0
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Пренос датотека између рачунара и других уређаја,15 до 24 године,Сва подручја,84.0
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Пренос датотека између рачунара и других уређаја,15 до 24 године,Сва подручја,80.9
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Пренос датотека између рачунара и других уређаја,15 до 24 године,Сва подручја,40.7
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Пренос датотека између рачунара и других уређаја,15 до 24 године,Сва подручја,49.8
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Пренос датотека између рачунара и других уређаја,15 до 24 године,Сва подручја,89.5
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Пренос датотека између рачунара и других уређаја,15 до 24 године,Сва подручја,80.7
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Пренос датотека између рачунара и других уређаја,15 до 24 године,Сва подручја,40.0
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Пренос датотека између рачунара и других уређаја,15 до 24 године,Сва подручја,55.1
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Учитавање садржаја који је креирао сам/корисник на веб локацију за дељење,15 до 24 године,Сва подручја,58.7
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Учитавање садржаја који је креирао сам/корисник на веб локацију за дељење,15 до 24 године,Сва подручја,18.7
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Учитавање садржаја који је креирао сам/корисник на веб локацију за дељење,15 до 24 године,Сва подручја,23.9
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Учитавање садржаја који је креирао сам/корисник на веб локацију за дељење,15 до 24 године,Сва подручја,58.2
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Учитавање садржаја који је креирао сам/корисник на веб локацију за дељење,15 до 24 године,Сва подручја,33.7
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Учитавање садржаја који је креирао сам/корисник на веб локацију за дељење,15 до 24 године,Сва подручја,23.1
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Учитавање садржаја који је креирао сам/корисник на веб локацију за дељење,15 до 24 године,Сва подручја,59.1
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Учитавање садржаја који је креирао сам/корисник на веб локацију за дељење,15 до 24 године,Сва подручја,13.6
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Учитавање садржаја који је креирао сам/корисник на веб локацију за дељење,15 до 24 године,Сва подручја,24.6
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Телефонирање преко Интернета / ВоИП,15 до 24 године,Сва подручја,41.8
2018,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Телефонирање преко Интернета / ВоИП,15 до 24 године,Сва подручја,76.7
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Телефонирање преко Интернета / ВоИП,15 до 24 године,Сва подручја,96.7
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Телефонирање преко Интернета / ВоИП,15 до 24 године,Сва подручја,90.8
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Телефонирање преко Интернета / ВоИП,15 до 24 године,Сва подручја,94.2
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Телефонирање преко Интернета / ВоИП,15 до 24 године,Сва подручја,98.6
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Телефонирање преко Интернета / ВоИП,15 до 24 године,Сва подручја,42.0
2018,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Телефонирање преко Интернета / ВоИП,15 до 24 године,Сва подручја,70.3
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Телефонирање преко Интернета / ВоИП,15 до 24 године,Сва подручја,97.0
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Телефонирање преко Интернета / ВоИП,15 до 24 године,Сва подручја,86.1
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Телефонирање преко Интернета / ВоИП,15 до 24 године,Сва подручја,93.6
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Телефонирање преко Интернета / ВоИП,15 до 24 године,Сва подручја,99.0
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Телефонирање преко Интернета / ВоИП,15 до 24 године,Сва подручја,41.7
2018,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Телефонирање преко Интернета / ВоИП,15 до 24 године,Сва подручја,83.9
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Телефонирање преко Интернета / ВоИП,15 до 24 године,Сва подручја,96.6
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Телефонирање преко Интернета / ВоИП,15 до 24 године,Сва подручја,94.4
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Телефонирање преко Интернета / ВоИП,15 до 24 године,Сва подручја,94.9
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Телефонирање преко Интернета / ВоИП,15 до 24 године,Сва подручја,98.3
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Коришћење основних аритметичких формула у табели,25 до 74 година,Сва подручја,7.1
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Коришћење основних аритметичких формула у табели,25 до 74 година,Сва подручја,6.5
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Коришћење основних аритметичких формула у табели,25 до 74 година,Сва подручја,7.2
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Коришћење основних аритметичких формула у табели,25 до 74 година,Сва подручја,5.6
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Коришћење основних аритметичких формула у табели,25 до 74 година,Сва подручја,6.9
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Коришћење основних аритметичких формула у табели,25 до 74 година,Сва подручја,7.8
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Коришћење алатки за копирање и љепљење за дуплирање или премештање информација у документу,25 до 74 година,Сва подручја,24.1
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Коришћење алатки за копирање и љепљење за дуплирање или премештање информација у документу,25 до 74 година,Сва подручја,18.9
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Коришћење алатки за копирање и љепљење за дуплирање или премештање информација у документу,25 до 74 година,Сва подручја,53.7
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Коришћење алатки за копирање и љепљење за дуплирање или премештање информација у документу,25 до 74 година,Сва подручја,49.0
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Коришћење алатки за копирање и љепљење за дуплирање или премештање информација у документу,25 до 74 година,Сва подручја,22.0
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Коришћење алатки за копирање и љепљење за дуплирање или премештање информација у документу,25 до 74 година,Сва подручја,17.1
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Коришћење алатки за копирање и љепљење за дуплирање или премештање информација у документу,25 до 74 година,Сва подручја,51.4
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Коришћење алатки за копирање и љепљење за дуплирање или премештање информација у документу,25 до 74 година,Сва подручја,48.2
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Коришћење алатки за копирање и љепљење за дуплирање или премештање информација у документу,25 до 74 година,Сва подручја,26.4
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Коришћење алатки за копирање и љепљење за дуплирање или премештање информација у документу,25 до 74 година,Сва подручја,21.3
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Коришћење алатки за копирање и љепљење за дуплирање или премештање информација у документу,25 до 74 година,Сва подручја,56.3
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Коришћење алатки за копирање и љепљење за дуплирање или премештање информација у документу,25 до 74 година,Сва подручја,49.7
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,"Читање или преузимање онлајн новина, часописа или електронских књига",25 до 74 година,Сва подручја,3.2
