Year,SERIES,UNIT_MEASURE,Razina obrazovanja,Kvantil dohotka ili bogatstva,Spol,Vrsta vještina,Stupanj urbanizacije,Godine,Value
2019,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,"traženje zdravstvenih informacija (o ozljedama, bolestima, prehrani itd.)",,,0.98894
2020,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,"traženje zdravstvenih informacija (o ozljedama, bolestima, prehrani itd.)",,,1.09733
2021,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,"traženje zdravstvenih informacija (o ozljedama, bolestima, prehrani itd.)",,,1.03659
2023,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,"traženje zdravstvenih informacija (o ozljedama, bolestima, prehrani itd.)",,,1.00007
2021,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Spajanje i instaliranje novih uređaja,,,0.7443
2023,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Spajanje i instaliranje novih uređaja,,,0.73088
2017,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Korištenje Internet bankarstva,,,0.69605
2018,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Korištenje Internet bankarstva,,,0.69234
2019,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Korištenje Internet bankarstva,,,0.65952
2020,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Korištenje Internet bankarstva,,,0.69984
2021,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Korištenje Internet bankarstva,,,0.96961
2023,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Korištenje Internet bankarstva,,,0.82038
2017,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Pisanje računalnog programa pomoću specijaliziranog programskog jezika,,,0.31226
2019,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Pisanje računalnog programa pomoću specijaliziranog programskog jezika,,,0.2854
2021,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,"Promjena postavki privatnosti na vašem uređaju, računu ili aplikaciji kako biste ograničili dijeljenje osobnih podataka i informacija (npr. ime, podaci za kontakt, fotografije)",,,0.6868
2023,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,"Promjena postavki privatnosti na vašem uređaju, računu ili aplikaciji kako biste ograničili dijeljenje osobnih podataka i informacija (npr. ime, podaci za kontakt, fotografije)",,,0.64385
2021,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,"Postavljanje učinkovitih sigurnosnih mjera (npr. jake lozinke, obavijest o pokušaju prijave) za zaštitu uređaja i mrežnih računa",,,0.8216
2023,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,"Postavljanje učinkovitih sigurnosnih mjera (npr. jake lozinke, obavijest o pokušaju prijave) za zaštitu uređaja i mrežnih računa",,,0.60826
2017,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Sudjelovanje u društvenim mrežama,,,0.96275
2018,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Sudjelovanje u društvenim mrežama,,,1.00505
2019,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Sudjelovanje u društvenim mrežama,,,1.08195
2020,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Sudjelovanje u društvenim mrežama,,,0.95
2021,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Sudjelovanje u društvenim mrežama,,,1.01363
2023,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Sudjelovanje u društvenim mrežama,,,0.99313
2017,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,"Pronalaženje, preuzimanje, instaliranje i konfiguriranje softvera",,,0.79713
2021,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,"Pronalaženje, preuzimanje, instaliranje i konfiguriranje softvera",,,0.8286
2023,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,"Pronalaženje, preuzimanje, instaliranje i konfiguriranje softvera",,,0.94716
2017,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Prijenos datoteka između računala i drugih uređaja,,,0.88954
2019,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Prijenos datoteka između računala i drugih uređaja,,,0.91255
2021,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Prijenos datoteka između računala i drugih uređaja,,,0.9637
2023,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Prijenos datoteka između računala i drugih uređaja,,,0.74283
2017,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Prijenos sadržaja koji je sam/korisnik stvorio na web mjesto za dijeljenje,,,0.66846
2019,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Prijenos sadržaja koji je sam/korisnik stvorio na web mjesto za dijeljenje,,,0.88783
2020,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Prijenos sadržaja koji je sam/korisnik stvorio na web mjesto za dijeljenje,,,0.99852
2017,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Telefoniranje preko interneta / VoIP,,,0.99461
2018,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Telefoniranje preko interneta / VoIP,,,0.95194
2019,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Telefoniranje preko interneta / VoIP,,,0.91838
2020,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Telefoniranje preko interneta / VoIP,,,0.98041
2021,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Telefoniranje preko interneta / VoIP,,,1.0118
2023,Indeks rodnog pariteta za mladih/odraslih sa vještinama informaciono-komunikacione tehnologije (IKT) prema vrsti vještine (omjer),Odnos,,,,Telefoniranje preko interneta / VoIP,,,1.00216
2018,Prilagođeni test jezika indeksa pariteta za postizanje minimalnog nivoa stručnosti u čitanju i računanju (omjer),Odnos,Niže srednje obrazovanje,,,SKILL_READ,,,0.85397
2019,Prilagođeni test jezika indeksa pariteta za postizanje minimalnog nivoa stručnosti u čitanju i računanju (omjer),Odnos,Osnovno obrazovanje,,,SKILL_MATH,,,0.8731
2018,Prilagođeni imigracioni status ndeks pariteta za postizanje minimalnog stepena čitanja i računanja (omjer),Odnos,Niže srednje obrazovanje,,,SKILL_READ,,,0.79283
2019,Prilagođeni imigracioni status ndeks pariteta za postizanje minimalnog stepena čitanja i računanja (omjer),Odnos,Niže srednje obrazovanje,,,SKILL_MATH,,,1.1155
2018,Prilagođen indeks pariteta ruralnog i urbanog za postizanje minimalnog stepena čitanja i računanja (omjer),Odnos,Niže srednje obrazovanje,,,SKILL_READ,,,0.5554
2019,Prilagođen indeks pariteta ruralnog i urbanog za postizanje minimalnog stepena čitanja i računanja (omjer),Odnos,Osnovno obrazovanje,,,SKILL_MATH,,,0.7634
2018,Prilagođeni indeks socijalno-ekonomskog pariteta od niskog do visokog za postizanje minimalnog nivoa čitanja i računanja (omjer),Odnos,Niže srednje obrazovanje,,,SKILL_READ,,,0.4988
2018,Prilagođeni indeks socijalno-ekonomskog pariteta od niskog do visokog za postizanje minimalnog nivoa čitanja i računanja (omjer),Odnos,Osnovno obrazovanje,,,SKILL_MATH,,,0.8823
