Year,SERIES,UNIT_MEASURE,Privredna aktivnost,Spol,Godine,Value
2021,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 19. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Žene,15 godina i više,72.93
2022,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 19. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Žene,15 godina i više,66.26
2021,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 19. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Muškarci,15 godina i više,45.69
2022,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 19. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Muškarci,15 godina i više,44.67
2021,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 19. ICLS (%)",Postotak,Nepoljoprivredna,Oba spola,15 godina i više,8.44
2022,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 19. ICLS (%)",Postotak,Nepoljoprivredna,Oba spola,15 godina i više,7.45
2021,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 19. ICLS (%)",Postotak,Nepoljoprivredna,Žene,15 godina i više,6.94
2022,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 19. ICLS (%)",Postotak,Nepoljoprivredna,Žene,15 godina i više,5.55
2021,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 19. ICLS (%)",Postotak,Nepoljoprivredna,Muškarci,15 godina i više,9.32
2022,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 19. ICLS (%)",Postotak,Nepoljoprivredna,Muškarci,15 godina i više,8.59
2021,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 19. ICLS (%)",Postotak,Bez podjele,Oba spola,15 godina i više,12.94
2022,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 19. ICLS (%)",Postotak,Bez podjele,Oba spola,15 godina i više,10.62
2021,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 19. ICLS (%)",Postotak,Bez podjele,Žene,15 godina i više,13.38
2022,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 19. ICLS (%)",Postotak,Bez podjele,Žene,15 godina i više,9.11
2021,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 19. ICLS (%)",Postotak,Bez podjele,Muškarci,15 godina i više,12.68
2022,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 19. ICLS (%)",Postotak,Bez podjele,Muškarci,15 godina i više,11.49
